epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.872,0.9068,1.41154,1.36282,0.72113,0.73359,0.71796,0.48553,1.05416,1.22726,1.74532,0.000664804,0.000664804,0.000664804
2,277.658,0.97597,1.01392,1.39882,0.74601,0.72772,0.7445,0.49323,1.15526,1.09649,1.73702,0.00131829,0.00131829,0.00131829
3,407.72,0.97815,0.94687,1.40997,0.7383,0.67777,0.69735,0.46629,1.17112,1.21826,1.80705,0.00195857,0.00195857,0.00195857
4,535.926,0.94778,0.90638,1.38294,0.81541,0.73554,0.78574,0.57672,0.99139,0.88684,1.60712,0.0019406,0.0019406,0.0019406
5,663.877,0.88339,0.83156,1.33488,0.85676,0.83772,0.84139,0.64375,0.86446,0.71477,1.48395,0.0019208,0.0019208,0.0019208
6,793.452,0.85217,0.78453,1.30859,0.84745,0.81616,0.82953,0.64753,0.87724,0.74861,1.51568,0.001901,0.001901,0.001901
7,926.848,0.82138,0.74817,1.28661,0.86519,0.83603,0.85316,0.69755,0.71454,0.63214,1.36966,0.0018812,0.0018812,0.0018812
8,1056.57,0.80899,0.74484,1.28557,0.86552,0.83211,0.83883,0.69018,0.7018,0.65804,1.34309,0.0018614,0.0018614,0.0018614
9,1188.41,0.7779,0.70089,1.25946,0.85485,0.82468,0.84365,0.67535,0.79971,0.65544,1.45724,0.0018416,0.0018416,0.0018416
10,1318.93,0.75008,0.67449,1.24386,0.85562,0.85113,0.86299,0.70754,0.71545,0.64583,1.33197,0.0018218,0.0018218,0.0018218
11,1450.93,0.75829,0.66632,1.24689,0.79908,0.68266,0.73795,0.57912,0.90719,0.98459,1.54345,0.001802,0.001802,0.001802
12,1582.99,0.73402,0.65152,1.22937,0.88605,0.87169,0.87459,0.73081,0.65512,0.56602,1.30155,0.0017822,0.0017822,0.0017822
13,1716.2,0.71985,0.63567,1.2142,0.88117,0.86426,0.86848,0.73519,0.65492,0.5478,1.30432,0.0017624,0.0017624,0.0017624
14,1847.15,0.71141,0.62707,1.21528,0.88864,0.85602,0.86325,0.72368,0.67211,0.57677,1.30371,0.0017426,0.0017426,0.0017426
15,1975.03,0.70472,0.61739,1.20779,0.90709,0.86062,0.87966,0.74773,0.65457,0.54291,1.2742,0.0017228,0.0017228,0.0017228
